date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:03:29	653/653	---M-Z	200	added ('OK')	text/plain	etag:%226f4-609a93a7a8d1e-gzip%22	https://literature.duke.edu/robots.txt		(from )
14:03:30	81895/81895	---M-Z	200	added ('OK')	text/html	etag:%221701767915-gzip%22	https://literature.duke.edu/	E:/Comparative/literature.duke.edu/index.html	(from )
14:03:37	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-5c0f2c6444925%22	https://literature.duke.edu/sites/literature.duke.edu/themes/tts_sub/favicon.ico	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/themes/tts_sub/favicon.ico	(from https://literature.duke.edu/)
14:03:37	28394/28394	---M-Z	200	added ('OK')	text/css	etag:%2215a4-60bc0d8cf0ef0%22	https://literature.duke.edu/sites/literature.duke.edu/files/css/css_rOTfX1YPRFOA8PZ9fPjAA7S344ZM0NGF4rmejcOFo2M.css?delta=0&language=en&theme=tts_sub&include=eJyFU-12gyAMfSEqj-QJGGk6JCyBbu7ph9Z29mOnf_Dm5hJiuAhq5qR0xn7CVK3cx50ThI_MlIqRN9JpWd-qPKeRwluZljlSCsazoD19VpTZBOYQsYcEcS7k1T4SRmctOFkHiqYU7RdgQ2QH8XCt6JiLFoHcsiLEj_lln1b3SEeYuZZ-IPV8bt1YTug5mgwCoVU7qh2kZojdH9PVlKuLpEccns9NPKA5E36pXddu4qFG3Al3tW_k4Y80LsLPbIf1swXrr29wR0eGYYOZ4zxSjFvoI6i2Fss1LTzRrYbAuKEvdNk0of-w69oh6DKXHbXhtYW9cj1ca0YZ2ygsJSq78Ib64zLY5jRMr_OFqz-qF8T0Mt9QZqVC_G8epV2tXlzFyeMr3fNNTVBaYxD7AZVC6qmZWJ9lMI70_c_15UMzS53SdvbVKsKhOX8jCzgHrjlgjZapne7lkBLXpes9ObX9EO45OMH31QXEl3DNL9OV9ly6y5PqRpbpzoOL9Be5bZx7	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/css/css_rOTfX1YPRFOA8PZ9fPjAA7S344ZM0NGF4rmejcOFo2M316b.css	(from https://literature.duke.edu/)
14:03:38	2669/2669	---M-Z	200	added ('OK')	text/css	etag:%22a6d-5a5b2d90715fe-gzip%22	https://literature.duke.edu/modules/contrib/bootstrap_paragraphs/css/bootstrap-paragraphs-columns.min.css?s56scu	E:/Comparative/literature.duke.edu/modules/contrib/bootstrap_paragraphs/css/bootstrap-paragraphs-columns.min0b84.css	(from https://literature.duke.edu/)
14:03:38	52126/52126	---M-Z	200	added ('OK')	text/css	etag:%221c79-60bc0d8cf41a8%22	https://literature.duke.edu/sites/literature.duke.edu/files/css/css_iATTkb6hTbgJ_VKYgCgARVa4-j0HMH31nM2-TjvOhT8.css?delta=2&language=en&theme=tts_sub&include=eJyFU-12gyAMfSEqj-QJGGk6JCyBbu7ph9Z29mOnf_Dm5hJiuAhq5qR0xn7CVK3cx50ThI_MlIqRN9JpWd-qPKeRwluZljlSCsazoD19VpTZBOYQsYcEcS7k1T4SRmctOFkHiqYU7RdgQ2QH8XCt6JiLFoHcsiLEj_lln1b3SEeYuZZ-IPV8bt1YTug5mgwCoVU7qh2kZojdH9PVlKuLpEccns9NPKA5E36pXddu4qFG3Al3tW_k4Y80LsLPbIf1swXrr29wR0eGYYOZ4zxSjFvoI6i2Fss1LTzRrYbAuKEvdNk0of-w69oh6DKXHbXhtYW9cj1ca0YZ2ygsJSq78Ib64zLY5jRMr_OFqz-qF8T0Mt9QZqVC_G8epV2tXlzFyeMr3fNNTVBaYxD7AZVC6qmZWJ9lMI70_c_15UMzS53SdvbVKsKhOX8jCzgHrjlgjZapne7lkBLXpes9ObX9EO45OMH31QXEl3DNL9OV9ly6y5PqRpbpzoOL9Be5bZx7	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/css/css_iATTkb6hTbgJ_VKYgCgARVa4-j0HMH31nM2-TjvOhT88744.css	(from https://literature.duke.edu/)
14:03:40	505829/505829	---M-Z	200	added ('OK')	text/css	etag:%22d9a2-60bc0c3cf2ac8%22	https://literature.duke.edu/sites/literature.duke.edu/files/css/css_t7JpSPVLxOAJP5yklL0d9s8YsdZSJKBPM7RxP6gUzRI.css?delta=3&language=en&theme=tts_sub&include=eJyFU-12gyAMfSEqj-QJGGk6JCyBbu7ph9Z29mOnf_Dm5hJiuAhq5qR0xn7CVK3cx50ThI_MlIqRN9JpWd-qPKeRwluZljlSCsazoD19VpTZBOYQsYcEcS7k1T4SRmctOFkHiqYU7RdgQ2QH8XCt6JiLFoHcsiLEj_lln1b3SEeYuZZ-IPV8bt1YTug5mgwCoVU7qh2kZojdH9PVlKuLpEccns9NPKA5E36pXddu4qFG3Al3tW_k4Y80LsLPbIf1swXrr29wR0eGYYOZ4zxSjFvoI6i2Fss1LTzRrYbAuKEvdNk0of-w69oh6DKXHbXhtYW9cj1ca0YZ2ygsJSq78Ib64zLY5jRMr_OFqz-qF8T0Mt9QZqVC_G8epV2tXlzFyeMr3fNNTVBaYxD7AZVC6qmZWJ9lMI70_c_15UMzS53SdvbVKsKhOX8jCzgHrjlgjZapne7lkBLXpes9ObX9EO45OMH31QXEl3DNL9OV9ly6y5PqRpbpzoOL9Be5bZx7	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/css/css_t7JpSPVLxOAJP5yklL0d9s8YsdZSJKBPM7RxP6gUzRI97e4.css	(from https://literature.duke.edu/)
14:03:40	2783/2783	---M-Z	200	added ('OK')	text/css	etag:%22394-60bc0c3d7e678%22	https://literature.duke.edu/sites/literature.duke.edu/files/css/css_MCeefYV06Cy1GjAoEs89RU39H7ai1DgGrLgiRr1D3H8.css?delta=4&language=en&theme=tts_sub&include=eJyFU-12gyAMfSEqj-QJGGk6JCyBbu7ph9Z29mOnf_Dm5hJiuAhq5qR0xn7CVK3cx50ThI_MlIqRN9JpWd-qPKeRwluZljlSCsazoD19VpTZBOYQsYcEcS7k1T4SRmctOFkHiqYU7RdgQ2QH8XCt6JiLFoHcsiLEj_lln1b3SEeYuZZ-IPV8bt1YTug5mgwCoVU7qh2kZojdH9PVlKuLpEccns9NPKA5E36pXddu4qFG3Al3tW_k4Y80LsLPbIf1swXrr29wR0eGYYOZ4zxSjFvoI6i2Fss1LTzRrYbAuKEvdNk0of-w69oh6DKXHbXhtYW9cj1ca0YZ2ygsJSq78Ib64zLY5jRMr_OFqz-qF8T0Mt9QZqVC_G8epV2tXlzFyeMr3fNNTVBaYxD7AZVC6qmZWJ9lMI70_c_15UMzS53SdvbVKsKhOX8jCzgHrjlgjZapne7lkBLXpes9ObX9EO45OMH31QXEl3DNL9OV9ly6y5PqRpbpzoOL9Be5bZx7	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/css/css_MCeefYV06Cy1GjAoEs89RU39H7ai1DgGrLgiRr1D3H82095.css	(from https://literature.duke.edu/)
14:03:41	1791/1791	---M-Z	200	added ('OK')	text/css	etag:%2220d-60bc057ff391d%22	https://literature.duke.edu/sites/literature.duke.edu/files/css/css_fL1t8cyYeUF1yGnWy7U_K5xnoT1E2R61UL49K_fv7A0.css?delta=5&language=en&theme=tts_sub&include=eJyFU-12gyAMfSEqj-QJGGk6JCyBbu7ph9Z29mOnf_Dm5hJiuAhq5qR0xn7CVK3cx50ThI_MlIqRN9JpWd-qPKeRwluZljlSCsazoD19VpTZBOYQsYcEcS7k1T4SRmctOFkHiqYU7RdgQ2QH8XCt6JiLFoHcsiLEj_lln1b3SEeYuZZ-IPV8bt1YTug5mgwCoVU7qh2kZojdH9PVlKuLpEccns9NPKA5E36pXddu4qFG3Al3tW_k4Y80LsLPbIf1swXrr29wR0eGYYOZ4zxSjFvoI6i2Fss1LTzRrYbAuKEvdNk0of-w69oh6DKXHbXhtYW9cj1ca0YZ2ygsJSq78Ib64zLY5jRMr_OFqz-qF8T0Mt9QZqVC_G8epV2tXlzFyeMr3fNNTVBaYxD7AZVC6qmZWJ9lMI70_c_15UMzS53SdvbVKsKhOX8jCzgHrjlgjZapne7lkBLXpes9ObX9EO45OMH31QXEl3DNL9OV9ly6y5PqRpbpzoOL9Be5bZx7	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/css/css_fL1t8cyYeUF1yGnWy7U_K5xnoT1E2R61UL49K_fv7A02692.css	(from https://literature.duke.edu/)
14:03:43	134/134	---M-Z	200	added ('OK')	text/css	etag:%228f-60bc0c3cfd3bd%22	https://literature.duke.edu/sites/literature.duke.edu/files/css/css_d73zrY1v4X-n7UGvbT-_VYgMBmQaS9QX_6A89fWDJrM.css?delta=7&language=en&theme=tts_sub&include=eJyFU-12gyAMfSEqj-QJGGk6JCyBbu7ph9Z29mOnf_Dm5hJiuAhq5qR0xn7CVK3cx50ThI_MlIqRN9JpWd-qPKeRwluZljlSCsazoD19VpTZBOYQsYcEcS7k1T4SRmctOFkHiqYU7RdgQ2QH8XCt6JiLFoHcsiLEj_lln1b3SEeYuZZ-IPV8bt1YTug5mgwCoVU7qh2kZojdH9PVlKuLpEccns9NPKA5E36pXddu4qFG3Al3tW_k4Y80LsLPbIf1swXrr29wR0eGYYOZ4zxSjFvoI6i2Fss1LTzRrYbAuKEvdNk0of-w69oh6DKXHbXhtYW9cj1ca0YZ2ygsJSq78Ib64zLY5jRMr_OFqz-qF8T0Mt9QZqVC_G8epV2tXlzFyeMr3fNNTVBaYxD7AZVC6qmZWJ9lMI70_c_15UMzS53SdvbVKsKhOX8jCzgHrjlgjZapne7lkBLXpes9ObX9EO45OMH31QXEl3DNL9OV9ly6y5PqRpbpzoOL9Be5bZx7	E:/Comparative/literature.duke.edu/sites/literature.duke.edu/files/css/css_d73zrY1v4X-n7UGvbT-_VYgMBmQaS9QX_6A89fWDJrMdc8f.css	(from https://literature.duke.edu/)
